age,default_avatar,default_background,default_profile_background_color,default_profile_link_color,default_profile_sidebar_border_color,default_profile_sidebar_fill_color,default_profile_text_color,favourites_count,followers_by_friends,followers_by_status,followers_count,folpd,friends_by_status,friends_count,fripd,is_bot,lang,listed_count,statuses_count,time_zone_nil,tpd,utc_offset
79402976.892395,false,false,false,false,false,false,true,16,0.8364312267657993,0.024277082434182133,225,0.24482709289775467,0.029024600776866638,269,0.2927043910644451,false,en,0,9268,false,10.084699986563258,-18000
25394777.89248,false,true,true,true,true,true,true,0,0.4392523364485981,0.11380145278450363,47,0.1599068917708511,0.25907990314769974,107,0.3640433493507183,false,en,0,413,true,1.4051392830081897,
492267.892524,false,true,true,true,true,true,true,0,0.6,0.9375,15,2.632712837184249,1.5625,25,4.387854728658242,false,en,0,16,true,2.8082270263526845,
83781039.892558,false,false,false,false,false,false,false,535,0.8829268292682927,0.019050626249868436,181,0.1866579839549868,0.021576676139353754,205,0.2114082138716827,false,en,0,9501,false,9.797997268268066,-28800
73742286.892618,false,false,true,true,true,true,true,0,1.3785310734463276,0.06927881885292447,244,0.2858821022284621,0.05025553662691652,177,0.20738168891164155,false,en,2,3522,false,4.12654411495396,-28800
34909408.892676,false,false,false,true,true,true,true,23,1.3240072202166064,0.09274830878169059,1467,3.630791927461116,0.0700512107226402,1108,2.7422750208774795,false,en,3,15817,false,39.14671841626609,0
89348086.89272,false,false,false,false,false,false,false,10,0.5618729096989966,0.010309594673376086,336,0.3249135041341456,0.01834862385321101,598,0.5782686770006777,false,en,1,32591,false,31.515642896538353,-18000
22950082.892781,false,false,true,true,true,true,true,22,1.0918727915194346,0.041807603842511164,309,1.1632899159759753,0.03828981193343255,283,1.065407916573698,false,en,0,7391,false,27.824840676315308,-28800
10598901.892836,false,false,false,false,false,false,true,419,0.7314814814814815,0.022297488004515947,158,1.2879824851682797,0.03048264182895851,216,1.760786182255702,false,en,0,7086,false,57.76356892346036,-18000
98107143.892869,false,false,false,false,false,false,true,59,1.0774130328270455,0.036886070853462155,2199,1.9365929173053646,0.034235775630703166,2041,1.7974470869578585,false,en,98,59616,false,52.50201153164226,-18000
1456005.892898,false,false,true,true,true,true,true,0,0.6132596685082873,0.1434108527131783,111,6.5867865279302125,0.23385012919896642,181,10.740615869890313,false,en,0,774,false,45.92948443822067,-18000
